,Tweet_ID,Label,tweet
0,1359862972739371009,F,empty
1,1358000045350658048,T,empty
2,1357792268699242497,T,empty
3,1350595656293998592,T,empty
4,1349239790252797953,T,empty
5,1345026025135210497,T,empty
6,1344721617960763392,T,empty
7,1344016734534176769,T,empty
8,1343490523319988224,T,empty
9,1342419474134179840,T,empty
10,1339599279854297094,T,empty
11,1337400344163344386,T,empty
12,1337161083140902914,T,empty
13,1337135281271607296,T,empty
14,1335842410040070146,T,empty
15,1335817324616626176,T,empty
16,1334857965296377856,T,empty
17,1331883197970444291,T,empty
18,1330952657553461248,T,empty
19,1330633554976452610,T,empty
20,1330390536579067905,T,empty
21,1327892247887683584,T,empty
22,1327891370833551360,T,empty
23,1327391243895255043,T,empty
24,1326496260908605441,T,empty
25,1326453413266264064,T,empty
26,1325217600956207109,T,empty
27,1323930099259985926,T,empty
28,1322751060449071105,T,empty
29,1322580599840923650,T,empty
30,1322420369291157510,T,empty
31,1321894122999943168,T,empty
32,1321870669915848705,T,empty
33,1321864849694089222,F,empty
34,1320370587160686593,T,empty
35,1319408326652854273,T,empty
36,1317701696584339456,T,empty
37,1317527439992672256,T,empty
38,1316678519955566594,T,empty
39,1316123921125650441,T,empty
40,1315999285801103360,T,empty
41,1315612647166021637,T,empty
42,1314909209939587073,T,empty
43,1314487309325283333,T,empty
44,1313259662008111105,T,empty
45,1310511203844788224,T,empty
46,1310274832576249856,F,empty
47,1309457100821737473,T,empty
48,1307372506676891648,T,empty
49,1306476040324349952,T,empty
50,1303568228665503745,T,empty
51,1303531208907862016,T,empty
52,1300924767395028993,T,empty
53,1300019282076631040,T,empty
54,1299362398227312641,T,empty
55,1297726520082006018,T,empty
56,1297480742818250752,T,empty
57,1297290502417588224,T,empty
58,1296735793285865473,T,empty
59,1296204627856293888,F,empty
60,1295340384952909826,T,empty
61,1294969198372847616,T,empty
62,1293528751800713216,T,empty
63,1293521463698391040,T,empty
64,1293285133613772809,F,empty
65,1293244451557711873,T,empty
66,1292406932679143424,T,empty
67,1291790442967662592,T,empty
68,1291690375116136448,T,empty
69,1291128990577590285,T,empty
70,1291128514163421184,T,empty
71,1291128028941164546,T,empty
72,1291127380447318016,T,empty
73,1290371493717843971,T,empty
74,1283712575415386112,T,empty
75,1282678268626440192,T,empty
76,1282418892443451392,T,empty
77,1282292848776314880,T,empty
78,1281684111879528449,T,empty
79,1279361108013387782,T,empty
80,1279303465219567620,T,empty
81,1279198238084644869,T,empty
82,1277612392973729792,T,empty
83,1277277894717452288,T,empty
84,1276847581591724037,T,empty
85,1276787487948656642,T,empty
86,1276545180921782273,T,empty
87,1275164121676333056,T,empty
88,1275150051006984199,T,empty
89,1274373662657912836,T,empty
90,1273991837821407233,T,empty
91,1272964336974258186,T,empty
92,1269644873419952129,T,empty
93,1269342012760866818,T,empty
94,1268083864020418565,T,empty
95,1267742913242505218,T,empty
96,1267063375202258944,T,empty
97,1266132177638621184,T,empty
98,1265296453179670528,T,empty
99,1259542334175354881,F,empty
100,1259263054497189890,T,empty
101,1259156497600262146,T,empty
102,1257764812869812224,T,empty
103,1257652243551211521,T,empty
104,1255898051346141185,T,empty
105,1254954945931083778,T,empty
106,1254484787634548736,T,empty
107,1253914008727556097,T,empty
108,1252316999709065219,T,empty
109,1252206735193968640,T,empty
110,1250743474632212480,T,empty
111,1250544537916891136,T,empty
112,1248372910311571456,T,empty
113,1247585303373766657,T,empty
114,1246395273938718722,F,empty
115,1244944490143592453,T,empty
116,1241286451075129346,T,empty
117,1240939809797013506,T,empty
118,1237568227376422912,T,empty
119,1236288887452061696,T,empty
120,1234314605901631494,T,empty
121,1234226465295798272,T,empty
122,1234155170055020544,T,empty
123,1231809149849260032,T,empty
124,1230208504696377345,T,empty
125,1226425157633236992,T,empty
126,1224771619765260290,T,empty
127,1224404160021508107,T,empty
128,1223608254879752192,T,empty
129,1223568011652673536,T,empty
130,1222671186246672386,T,empty
131,1222628172799320071,T,empty
132,1222531911194697728,T,empty
133,1222399442114043904,T,empty
134,1222232764201807873,T,empty
135,1220027747709399042,F,empty
136,1219671278921179139,T,empty
137,1218796155825508352,T,empty
138,1215524068184788993,T,empty
139,1214709497048027136,T,empty
140,1212752290957971456,T,empty
141,1212112380148244480,T,empty
142,1212087823165210626,T,empty
143,1211390058097467392,T,empty
144,1210953329498570753,T,empty
145,1209209903799296000,T,empty
146,1206534087630045189,T,empty
147,1201520017336152064,T,empty
148,1201025673952923649,T,empty
149,1198699255575326720,T,empty
150,1192505659671154695,T,empty
151,1191828166857375750,T,empty
152,1190717757110849536,T,empty
153,1189686460603125764,T,empty
154,1188561544877092866,T,empty
155,1188377037314105344,T,empty
156,1183485455716757504,F,empty
157,1179687450660225024,T,empty
158,1175466033961938945,T,empty
159,1170742040763744256,T,empty
160,1169147015340711936,T,empty
161,1168214470843408390,T,empty
162,1167479191870300160,T,empty
163,1164636735839657986,T,empty
164,1160862935834648577,T,empty
165,1160141150650601472,T,empty
166,1154297159417769985,T,empty
167,1153095280885207041,T,empty
168,1152805060239351808,T,empty
169,1150142109594324992,T,empty
170,1149357950374436865,T,empty
171,1147502742979731458,T,empty
172,1146370655283290112,T,empty
173,1145781876038275072,T,empty
174,1145014342326378496,T,empty
175,1144287801841782784,T,empty
176,1140274125128253440,T,empty
177,1140222665518723073,T,empty
178,1139875309304647686,T,empty
179,1139096481481318401,T,empty
180,1133184392627707907,T,empty
181,1133009421259427841,T,empty
182,1131327812575604736,T,empty
183,1130960183235153920,T,empty
184,1127939571251961856,T,empty
185,1124656872391356417,T,empty
186,1124439226316201984,T,empty
187,1123631270490198017,T,empty
188,1122970691635171328,T,empty
189,1122756650866180096,T,empty
190,1122604703068635140,T,empty
191,1122027779267149825,T,empty
192,1121408829151948801,T,empty
193,1120586858356969472,T,empty
194,1118269027347050496,F,empty
195,1117674557953990656,T,empty
196,1115046412998385664,T,empty
197,1114235353857130497,F,empty
198,1107767774707884033,T,empty
199,1107041606950105088,T,empty
200,1106964422751408128,T,empty
201,1106757299304087553,T,empty
202,1106530347943116801,T,empty
203,1106473194104520704,T,empty
204,1105243892545409027,T,empty
205,1104878137572241409,T,empty
206,1101775482528428032,T,empty
207,1100693170805968898,T,empty
208,1096489897513418758,T,empty
209,1093118032451379200,T,empty
210,1091736692078379008,T,empty
211,1090393981115076612,T,empty
212,1089654849623359488,T,empty
213,1089519086114082816,T,empty
214,1086753448106831872,T,empty
215,1082755837058256896,T,empty
216,1079070154040979456,T,empty
217,1068564244906614785,T,empty
218,1066800159802171393,F,empty
219,1062315228539576321,T,empty
220,1060666568596770817,T,empty
221,1060068679621230592,T,empty
222,1056640028527525888,T,empty
223,1050081490468524032,T,empty
224,1048383835149389824,T,empty
225,1048147614875746306,T,empty
226,1044567061782024192,T,empty
227,1042868790130819072,T,empty
228,1039742492848152577,T,empty
229,1034162324842659840,T,empty
230,1034101104919961600,T,empty
231,1032611597255147521,T,empty
232,1032282146566750209,T,empty
233,1028907544671137792,T,empty
234,1024615410153357312,T,empty
235,1024003972053520384,T,empty
236,1023795986697805824,T,empty
237,1022945345754607618,T,empty
238,1022846187739721728,F,empty
239,1021759421016354816,T,empty
240,1020244481856233472,T,empty
241,1019533045861412866,T,empty
242,1017718313642807296,T,empty
243,1017336444224974850,T,empty
244,1011713129020100611,T,empty
245,1011671448430235648,T,empty
246,1009834503987187714,T,empty
247,1007253651822399488,T,empty
248,1006245129663975425,T,empty
249,1003426901078298624,T,empty
250,1003332394257190914,T,empty
251,1002952687040770048,T,empty
252,1002735918250430466,T,empty
253,1000776960195350528,T,empty
254,996635112308662272,T,empty
255,996425458165207040,T,empty
256,995738365868769280,T,empty
257,995302443524284416,T,empty
